profile,condition,metric,mean,sd,ci95_lower,ci95_upper,n,cohens_d_vs_sm2,effect_interpretation
Low-Over,Full CalibrateMe,retention_7day,0.220756,0.000525,0.220560,0.220952,30,2.4599,large
Low-Over,Full CalibrateMe,retention_1day,0.251051,0.001290,0.250569,0.251533,30,N/A,N/A
Low-Over,Full CalibrateMe,retention_30day,0.200659,0.000017,0.200653,0.200665,30,N/A,N/A
Low-Over,Full CalibrateMe,final_ece,0.180231,0.077138,0.151422,0.209040,30,0.8202,large
Low-Over,Full CalibrateMe,time_to_mastery,30.000000,0.000000,30.000000,30.000000,30,N/A,N/A
Low-Over,Full CalibrateMe,review_efficiency,6.000000,0.000000,6.000000,6.000000,30,N/A,N/A
Low-Over,No Dual-Process,retention_7day,0.220718,0.000499,0.220532,0.220905,30,2.4430,large
Low-Over,No Dual-Process,retention_1day,0.250959,0.001226,0.250501,0.251417,30,N/A,N/A
Low-Over,No Dual-Process,retention_30day,0.200658,0.000016,0.200652,0.200664,30,N/A,N/A
Low-Over,No Dual-Process,final_ece,0.177708,0.074121,0.150026,0.205390,30,0.8680,large
Low-Over,No Dual-Process,time_to_mastery,30.000000,0.000000,30.000000,30.000000,30,N/A,N/A
Low-Over,No Dual-Process,review_efficiency,6.000000,0.000000,6.000000,6.000000,30,N/A,N/A
Low-Over,No Scaffolding,retention_7day,0.220756,0.000523,0.220560,0.220951,30,2.4623,large
Low-Over,No Scaffolding,retention_1day,0.251051,0.001287,0.250570,0.251531,30,N/A,N/A
Low-Over,No Scaffolding,retention_30day,0.200659,0.000017,0.200653,0.200665,30,N/A,N/A
Low-Over,No Scaffolding,final_ece,0.185145,0.070227,0.158917,0.211373,30,0.7910,medium
Low-Over,No Scaffolding,time_to_mastery,30.000000,0.000000,30.000000,30.000000,30,N/A,N/A
Low-Over,No Scaffolding,review_efficiency,6.000000,0.000000,6.000000,6.000000,30,N/A,N/A
Low-Over,Calibration Only,retention_7day,0.220757,0.000521,0.220563,0.220952,30,2.4688,large
Low-Over,Calibration Only,retention_1day,0.251055,0.001282,0.250576,0.251534,30,N/A,N/A
Low-Over,Calibration Only,retention_30day,0.200659,0.000017,0.200653,0.200665,30,N/A,N/A
Low-Over,Calibration Only,final_ece,0.184668,0.069990,0.158529,0.210807,30,0.7984,medium
Low-Over,Calibration Only,time_to_mastery,30.000000,0.000000,30.000000,30.000000,30,N/A,N/A
Low-Over,Calibration Only,review_efficiency,6.000000,0.000000,6.000000,6.000000,30,N/A,N/A
Low-Over,SM-2 Baseline,retention_7day,0.219276,0.000670,0.219026,0.219526,30,N/A,N/A
Low-Over,SM-2 Baseline,retention_1day,0.247411,0.001648,0.246796,0.248026,30,N/A,N/A
Low-Over,SM-2 Baseline,retention_30day,0.200612,0.000021,0.200604,0.200620,30,N/A,N/A
Low-Over,SM-2 Baseline,final_ece,0.245258,0.081360,0.214872,0.275644,30,N/A,N/A
Low-Over,SM-2 Baseline,time_to_mastery,30.000000,0.000000,30.000000,30.000000,30,N/A,N/A
Low-Over,SM-2 Baseline,review_efficiency,6.000000,0.000000,6.000000,6.000000,30,N/A,N/A
Low-Over,BKT-Only,retention_7day,0.220754,0.000517,0.220561,0.220947,30,2.4711,large
Low-Over,BKT-Only,retention_1day,0.251047,0.001271,0.250572,0.251522,30,N/A,N/A
Low-Over,BKT-Only,retention_30day,0.200659,0.000016,0.200653,0.200665,30,N/A,N/A
Low-Over,BKT-Only,final_ece,0.175427,0.069705,0.149394,0.201460,30,0.9218,large
Low-Over,BKT-Only,time_to_mastery,30.000000,0.000000,30.000000,30.000000,30,N/A,N/A
Low-Over,BKT-Only,review_efficiency,6.000000,0.000000,6.000000,6.000000,30,N/A,N/A
Low-Under,Full CalibrateMe,retention_7day,0.220729,0.000501,0.220542,0.220917,30,3.7114,large
Low-Under,Full CalibrateMe,retention_1day,0.250986,0.001233,0.250526,0.251447,30,N/A,N/A
Low-Under,Full CalibrateMe,retention_30day,0.200658,0.000016,0.200652,0.200664,30,N/A,N/A
Low-Under,Full CalibrateMe,final_ece,0.197951,0.091561,0.163755,0.232146,30,0.9824,large
Low-Under,Full CalibrateMe,time_to_mastery,30.000000,0.000000,30.000000,30.000000,30,N/A,N/A
Low-Under,Full CalibrateMe,review_efficiency,6.000000,0.000000,6.000000,6.000000,30,N/A,N/A
Low-Under,No Dual-Process,retention_7day,0.220652,0.000519,0.220458,0.220846,30,3.5436,large
Low-Under,No Dual-Process,retention_1day,0.250795,0.001278,0.250318,0.251272,30,N/A,N/A
Low-Under,No Dual-Process,retention_30day,0.200656,0.000016,0.200649,0.200662,30,N/A,N/A
Low-Under,No Dual-Process,final_ece,0.197740,0.091205,0.163677,0.231802,30,0.9860,large
Low-Under,No Dual-Process,time_to_mastery,30.000000,0.000000,30.000000,30.000000,30,N/A,N/A
Low-Under,No Dual-Process,review_efficiency,6.000000,0.000000,6.000000,6.000000,30,N/A,N/A
Low-Under,No Scaffolding,retention_7day,0.220745,0.000485,0.220564,0.220926,30,3.7768,large
Low-Under,No Scaffolding,retention_1day,0.251024,0.001192,0.250578,0.251469,30,N/A,N/A
Low-Under,No Scaffolding,retention_30day,0.200659,0.000015,0.200653,0.200664,30,N/A,N/A
Low-Under,No Scaffolding,final_ece,0.244057,0.097046,0.207813,0.280301,30,0.5137,medium
Low-Under,No Scaffolding,time_to_mastery,30.000000,0.000000,30.000000,30.000000,30,N/A,N/A
Low-Under,No Scaffolding,review_efficiency,6.000000,0.000000,6.000000,6.000000,30,N/A,N/A
Low-Under,Calibration Only,retention_7day,0.220687,0.000546,0.220483,0.220891,30,3.5363,large
