profile,condition,metric,mean,sd,ci95_lower,ci95_upper,n,cohens_d_vs_sm2,effect_interpretation
Extreme-Over,Full CalibrateMe,retention_7day,0.245487,0.001068,0.245088,0.245885,30,2.9782,large
Extreme-Over,Full CalibrateMe,retention_1day,0.293449,0.002194,0.292630,0.294269,30,N/A,N/A
Extreme-Over,Full CalibrateMe,retention_30day,0.202879,0.000068,0.202854,0.202904,30,N/A,N/A
Extreme-Over,Full CalibrateMe,final_ece,0.163722,0.062869,0.140242,0.187202,30,2.0999,large
Extreme-Over,Full CalibrateMe,time_to_mastery,30.000000,0.000000,30.000000,30.000000,30,N/A,N/A
Extreme-Over,Full CalibrateMe,review_efficiency,6.000000,0.000000,6.000000,6.000000,30,N/A,N/A
Extreme-Over,No Dual-Process,retention_7day,0.245428,0.001018,0.245048,0.245808,30,2.9830,large
Extreme-Over,No Dual-Process,retention_1day,0.293329,0.002092,0.292548,0.294110,30,N/A,N/A
Extreme-Over,No Dual-Process,retention_30day,0.202875,0.000064,0.202851,0.202899,30,N/A,N/A
Extreme-Over,No Dual-Process,final_ece,0.162729,0.064245,0.138735,0.186722,30,2.0956,large
Extreme-Over,No Dual-Process,time_to_mastery,30.000000,0.000000,30.000000,30.000000,30,N/A,N/A
Extreme-Over,No Dual-Process,review_efficiency,6.000000,0.000000,6.000000,6.000000,30,N/A,N/A
Extreme-Over,No Scaffolding,retention_7day,0.245507,0.001057,0.245112,0.245902,30,3.0064,large
Extreme-Over,No Scaffolding,retention_1day,0.293491,0.002172,0.292680,0.294302,30,N/A,N/A
Extreme-Over,No Scaffolding,retention_30day,0.202880,0.000067,0.202855,0.202905,30,N/A,N/A
Extreme-Over,No Scaffolding,final_ece,0.259823,0.079785,0.230025,0.289621,30,0.6550,medium
Extreme-Over,No Scaffolding,time_to_mastery,30.000000,0.000000,30.000000,30.000000,30,N/A,N/A
Extreme-Over,No Scaffolding,review_efficiency,6.000000,0.000000,6.000000,6.000000,30,N/A,N/A
Extreme-Over,Calibration Only,retention_7day,0.245507,0.001057,0.245112,0.245902,30,3.0064,large
Extreme-Over,Calibration Only,retention_1day,0.293491,0.002172,0.292680,0.294302,30,N/A,N/A
Extreme-Over,Calibration Only,retention_30day,0.202880,0.000067,0.202855,0.202905,30,N/A,N/A
Extreme-Over,Calibration Only,final_ece,0.259823,0.079785,0.230025,0.289621,30,0.6550,medium
Extreme-Over,Calibration Only,time_to_mastery,30.000000,0.000000,30.000000,30.000000,30,N/A,N/A
Extreme-Over,Calibration Only,review_efficiency,6.000000,0.000000,6.000000,6.000000,30,N/A,N/A
Extreme-Over,SM-2 Baseline,retention_7day,0.241862,0.001350,0.241358,0.242366,30,N/A,N/A
Extreme-Over,SM-2 Baseline,retention_1day,0.286003,0.002773,0.284967,0.287038,30,N/A,N/A
Extreme-Over,SM-2 Baseline,retention_30day,0.202650,0.000085,0.202618,0.202681,30,N/A,N/A
Extreme-Over,SM-2 Baseline,final_ece,0.311117,0.076817,0.282428,0.339806,30,N/A,N/A
Extreme-Over,SM-2 Baseline,time_to_mastery,30.000000,0.000000,30.000000,30.000000,30,N/A,N/A
Extreme-Over,SM-2 Baseline,review_efficiency,6.000000,0.000000,6.000000,6.000000,30,N/A,N/A
Extreme-Over,BKT-Only,retention_7day,0.245480,0.000992,0.245110,0.245851,30,3.0551,large
Extreme-Over,BKT-Only,retention_1day,0.293436,0.002037,0.292675,0.294197,30,N/A,N/A
Extreme-Over,BKT-Only,retention_30day,0.202879,0.000063,0.202855,0.202902,30,N/A,N/A
Extreme-Over,BKT-Only,final_ece,0.250890,0.071596,0.224151,0.277629,30,0.8111,large
Extreme-Over,BKT-Only,time_to_mastery,30.000000,0.000000,30.000000,30.000000,30,N/A,N/A
Extreme-Over,BKT-Only,review_efficiency,6.000000,0.000000,6.000000,6.000000,30,N/A,N/A
Extreme-Under,Full CalibrateMe,retention_7day,0.245382,0.001078,0.244979,0.245785,30,4.3230,large
Extreme-Under,Full CalibrateMe,retention_1day,0.293234,0.002215,0.292407,0.294062,30,N/A,N/A
Extreme-Under,Full CalibrateMe,retention_30day,0.202872,0.000068,0.202847,0.202898,30,N/A,N/A
Extreme-Under,Full CalibrateMe,final_ece,0.191849,0.080471,0.161795,0.221903,30,1.6751,large
Extreme-Under,Full CalibrateMe,time_to_mastery,30.000000,0.000000,30.000000,30.000000,30,N/A,N/A
Extreme-Under,Full CalibrateMe,review_efficiency,6.000000,0.000000,6.000000,6.000000,30,N/A,N/A
Extreme-Under,No Dual-Process,retention_7day,0.245038,0.001001,0.244664,0.245412,30,4.1873,large
Extreme-Under,No Dual-Process,retention_1day,0.292527,0.002057,0.291758,0.293295,30,N/A,N/A
Extreme-Under,No Dual-Process,retention_30day,0.202851,0.000063,0.202827,0.202874,30,N/A,N/A
Extreme-Under,No Dual-Process,final_ece,0.208762,0.076890,0.180045,0.237478,30,1.5263,large
Extreme-Under,No Dual-Process,time_to_mastery,30.000000,0.000000,30.000000,30.000000,30,N/A,N/A
Extreme-Under,No Dual-Process,review_efficiency,6.000000,0.000000,6.000000,6.000000,30,N/A,N/A
Extreme-Under,No Scaffolding,retention_7day,0.245370,0.000978,0.245005,0.245736,30,4.3808,large
Extreme-Under,No Scaffolding,retention_1day,0.293210,0.002010,0.292459,0.293961,30,N/A,N/A
Extreme-Under,No Scaffolding,retention_30day,0.202872,0.000062,0.202848,0.202895,30,N/A,N/A
Extreme-Under,No Scaffolding,final_ece,0.265774,0.095215,0.230214,0.301334,30,0.8722,large
Extreme-Under,No Scaffolding,time_to_mastery,30.000000,0.000000,30.000000,30.000000,30,N/A,N/A
Extreme-Under,No Scaffolding,review_efficiency,6.000000,0.000000,6.000000,6.000000,30,N/A,N/A
Extreme-Under,Calibration Only,retention_7day,0.245221,0.001041,0.244833,0.245610,30,4.2616,large
Extreme-Under,Calibration Only,retention_1day,0.292904,0.002138,0.292106,0.293703,30,N/A,N/A
Extreme-Under,Calibration Only,retention_30day,0.202862,0.000066,0.202838,0.202887,30,N/A,N/A
Extreme-Under,Calibration Only,final_ece,0.263544,0.093826,0.228503,0.298585,30,0.8987,large
Extreme-Under,Calibration Only,time_to_mastery,30.000000,0.000000,30.000000,30.000000,30,N/A,N/A
Extreme-Under,Calibration Only,review_efficiency,6.000000,0.000000,6.000000,6.000000,30,N/A,N/A
Extreme-Under,SM-2 Baseline,retention_7day,0.237263,0.002427,0.236356,0.238169,30,N/A,N/A
Extreme-Under,SM-2 Baseline,retention_1day,0.276554,0.004987,0.274691,0.278416,30,N/A,N/A
Extreme-Under,SM-2 Baseline,retention_30day,0.202358,0.000154,0.202301,0.202416,30,N/A,N/A
Extreme-Under,SM-2 Baseline,final_ece,0.357609,0.114494,0.314849,0.400369,30,N/A,N/A
Extreme-Under,SM-2 Baseline,time_to_mastery,30.000000,0.000000,30.000000,30.000000,30,N/A,N/A
Extreme-Under,SM-2 Baseline,review_efficiency,6.000000,0.000000,6.000000,6.000000,30,N/A,N/A
Extreme-Under,BKT-Only,retention_7day,0.245438,0.001116,0.245022,0.245855,30,4.3279,large
Extreme-Under,BKT-Only,retention_1day,0.293350,0.002292,0.292494,0.294206,30,N/A,N/A
