delta,profile,final_ece_mean,final_ece_sd,retention_7day_mean,retention_7day_sd,time_to_mastery_mean,time_to_mastery_sd,scaffold_count_mean,scaffold_count_sd
0.0000,Low-Over,0.192715,0.072062,0.220678,0.000572,30.00,0.00,0.00,0.00
0.0000,Low-Under,0.220183,0.082138,0.220662,0.000542,30.00,0.00,0.00,0.00
0.0000,Low-Well,0.175197,0.067982,0.220650,0.000550,30.00,0.00,0.00,0.00
0.0000,Med-Over,0.203516,0.072022,0.278354,0.002178,30.00,0.00,0.00,0.00
0.0000,Med-Under,0.264651,0.088205,0.278209,0.002100,30.00,0.00,0.00,0.00
0.0000,Med-Well,0.182629,0.074801,0.278280,0.002110,30.00,0.00,0.00,0.00
0.0000,High-Over,0.230664,0.084276,0.436396,0.005402,30.00,0.00,0.00,0.00
0.0000,High-Under,0.201908,0.055240,0.435239,0.004955,30.00,0.00,0.00,0.00
0.0000,High-Well,0.206107,0.070035,0.436565,0.005207,30.00,0.00,0.00,0.00
0.0100,Low-Over,0.133961,0.072831,0.220670,0.000566,30.00,0.00,40.80,10.24
0.0100,Low-Under,0.204984,0.082498,0.220692,0.000547,30.00,0.00,112.60,7.33
0.0100,Low-Well,0.169266,0.070182,0.220671,0.000556,30.00,0.00,93.47,15.38
0.0100,Med-Over,0.168468,0.073362,0.278367,0.002215,30.00,0.00,44.67,10.69
0.0100,Med-Under,0.183692,0.080247,0.278340,0.002079,30.00,0.00,109.40,9.42
0.0100,Med-Well,0.183292,0.073771,0.278317,0.002180,30.00,0.00,85.80,16.22
0.0100,High-Over,0.242632,0.080724,0.436595,0.005435,30.00,0.00,49.07,8.52
0.0100,High-Under,0.196147,0.058928,0.435689,0.004902,30.00,0.00,88.67,11.08
0.0100,High-Well,0.219538,0.053389,0.436360,0.005212,30.00,0.00,72.80,14.89
0.0200,Low-Over,0.150293,0.057099,0.220682,0.000573,30.00,0.00,44.07,11.79
0.0200,Low-Under,0.177583,0.082200,0.220661,0.000560,30.00,0.00,109.20,9.67
0.0200,Low-Well,0.168991,0.071131,0.220664,0.000552,30.00,0.00,93.27,15.37
0.0200,Med-Over,0.169683,0.059549,0.278359,0.002206,30.00,0.00,45.60,8.89
0.0200,Med-Under,0.194740,0.062660,0.278193,0.002013,30.00,0.00,103.00,11.31
0.0200,Med-Well,0.189187,0.074599,0.278254,0.002111,30.00,0.00,86.07,15.77
0.0200,High-Over,0.220680,0.072442,0.436887,0.005509,30.00,0.00,49.73,8.32
0.0200,High-Under,0.230908,0.085186,0.435724,0.005034,30.00,0.00,82.60,12.37
