profile,scheduler,retention_1day_mean,retention_1day_std,retention_7day_mean,retention_7day_std,retention_30day_mean,retention_30day_std,time_to_mastery_mean,time_to_mastery_std,review_efficiency_mean,final_ece_mean,final_brier_mean,final_K_star_mean
Low-Over,CALIBRATEME,0.250516,0.000808,0.220538,0.000329,0.200652,0.000010,30.000000,0.000000,6.000000,0.146934,0.174375,0.083845
Low-Over,SM2,0.247796,0.001058,0.219433,0.000430,0.200617,0.000014,30.000000,0.000000,6.000000,0.211502,0.198521,0.079331
Low-Over,BKT_ONLY,0.250704,0.001006,0.220615,0.000409,0.200654,0.000013,30.000000,0.000000,6.000000,0.148537,0.179310,0.084156
Low-Over,DECAY_BASED,0.249569,0.001201,0.220153,0.000488,0.200640,0.000016,30.000000,0.000000,6.000000,0.177554,0.191918,0.082274
Low-Under,CALIBRATEME,0.247639,0.001664,0.219368,0.000676,0.200615,0.000021,30.000000,0.000000,6.000000,0.179713,0.198780,0.079069
Low-Under,SM2,0.246118,0.002385,0.218750,0.000970,0.200595,0.000031,30.000000,0.000000,6.000000,0.245706,0.269362,0.076546
Low-Under,BKT_ONLY,0.250471,0.001085,0.220520,0.000441,0.200651,0.000014,30.000000,0.000000,6.000000,0.217240,0.215804,0.083769
Low-Under,DECAY_BASED,0.249809,0.001081,0.220251,0.000439,0.200643,0.000014,30.000000,0.000000,6.000000,0.238268,0.236350,0.082671
Low-Well,CALIBRATEME,0.249337,0.001598,0.220059,0.000650,0.200637,0.000021,30.000000,0.000000,6.000000,0.167235,0.169961,0.081887
Low-Well,SM2,0.246279,0.000702,0.218816,0.000285,0.200597,0.000009,30.000000,0.000000,6.000000,0.117861,0.189144,0.076812
Low-Well,BKT_ONLY,0.250524,0.000731,0.220542,0.000297,0.200652,0.000009,30.000000,0.000000,6.000000,0.153931,0.177481,0.083858
Low-Well,DECAY_BASED,0.249780,0.001211,0.220239,0.000492,0.200642,0.000016,30.000000,0.000000,6.000000,0.187958,0.205149,0.082622
Med-Over,CALIBRATEME,0.337394,0.003642,0.275403,0.001999,0.207560,0.000200,30.000000,0.000000,6.000000,0.171738,0.196615,0.216920
Med-Over,SM2,0.328216,0.002636,0.270366,0.001447,0.207055,0.000145,30.000000,0.000000,6.000000,0.233213,0.248826,0.202429
Med-Over,BKT_ONLY,0.341536,0.003088,0.277677,0.001695,0.207788,0.000170,30.000000,0.000000,6.000000,0.169042,0.212627,0.223460
Med-Over,DECAY_BASED,0.336213,0.003291,0.274755,0.001806,0.207495,0.000181,30.000000,0.000000,6.000000,0.235955,0.214595,0.215055
Med-Under,CALIBRATEME,0.324967,0.005808,0.268583,0.003188,0.206876,0.000320,30.000000,0.000000,6.000000,0.212339,0.210404,0.197300
Med-Under,SM2,0.313342,0.007396,0.262203,0.004059,0.206236,0.000407,30.000000,0.000000,6.000000,0.227855,0.223858,0.178946
Med-Under,BKT_ONLY,0.341169,0.001830,0.277475,0.001004,0.207768,0.000101,30.000000,0.000000,6.000000,0.231453,0.247717,0.222880
Med-Under,DECAY_BASED,0.332485,0.006573,0.272709,0.003607,0.207290,0.000362,30.000000,0.000000,6.000000,0.223650,0.229336,0.209170
Med-Well,CALIBRATEME,0.333116,0.003792,0.273056,0.002081,0.207324,0.000209,30.000000,0.000000,6.000000,0.170761,0.215682,0.210166
Med-Well,SM2,0.315215,0.005078,0.263231,0.002787,0.206339,0.000279,30.000000,0.000000,6.000000,0.204664,0.241368,0.181903
Med-Well,BKT_ONLY,0.341592,0.002436,0.277707,0.001337,0.207791,0.000134,30.000000,0.000000,6.000000,0.141054,0.213210,0.223547
Med-Well,DECAY_BASED,0.336422,0.004253,0.274870,0.002334,0.207506,0.000234,30.000000,0.000000,6.000000,0.193366,0.204385,0.215386
High-Over,CALIBRATEME,0.499523,0.013665,0.421892,0.010123,0.270259,0.003205,30.000000,0.000000,6.000000,0.192099,0.235777,0.449829
High-Over,SM2,0.484726,0.005486,0.410930,0.004064,0.266788,0.001287,30.000000,0.000000,6.000000,0.167369,0.217514,0.427606
High-Over,BKT_ONLY,0.516571,0.004753,0.434521,0.003521,0.274258,0.001115,30.000000,0.000000,6.000000,0.181931,0.257892,0.475431
High-Over,DECAY_BASED,0.502124,0.005875,0.423819,0.004352,0.270869,0.001378,30.000000,0.000000,6.000000,0.204835,0.249418,0.453735
High-Under,CALIBRATEME,0.465365,0.015254,0.396587,0.011301,0.262247,0.003578,30.000000,0.000000,6.000000,0.169515,0.220227,0.398529
High-Under,SM2,0.467875,0.005053,0.398446,0.003743,0.262835,0.001185,30.000000,0.000000,6.000000,0.265101,0.227484,0.402298
High-Under,BKT_ONLY,0.513846,0.006520,0.432503,0.004830,0.273619,0.001529,30.000000,0.000000,6.000000,0.248329,0.277118,0.471340
High-Under,DECAY_BASED,0.500456,0.007004,0.422583,0.005189,0.270478,0.001643,30.000000,0.000000,6.000000,0.200910,0.257638,0.451230
High-Well,CALIBRATEME,0.483481,0.020271,0.410008,0.015017,0.266496,0.004755,30.000000,0.000000,6.000000,0.212795,0.242087,0.425736
High-Well,SM2,0.479173,0.008046,0.406816,0.005961,0.265486,0.001887,30.000000,0.000000,6.000000,0.243513,0.235393,0.419266
High-Well,BKT_ONLY,0.515939,0.004645,0.434054,0.003441,0.274110,0.001090,30.000000,0.000000,6.000000,0.216082,0.267135,0.474483
High-Well,DECAY_BASED,0.504603,0.003531,0.425656,0.002616,0.271451,0.000828,30.000000,0.000000,6.000000,0.202025,0.243605,0.457458
