session,Low-Over_CALIBRATEME_K_star,Low-Over_CALIBRATEME_ECE,Low-Over_SM2_K_star,Low-Over_SM2_ECE,Low-Over_BKT_ONLY_K_star,Low-Over_BKT_ONLY_ECE,Low-Over_DECAY_BASED_K_star,Low-Over_DECAY_BASED_ECE,Low-Under_CALIBRATEME_K_star,Low-Under_CALIBRATEME_ECE,Low-Under_SM2_K_star,Low-Under_SM2_ECE,Low-Under_BKT_ONLY_K_star,Low-Under_BKT_ONLY_ECE,Low-Under_DECAY_BASED_K_star,Low-Under_DECAY_BASED_ECE,Low-Well_CALIBRATEME_K_star,Low-Well_CALIBRATEME_ECE,Low-Well_SM2_K_star,Low-Well_SM2_ECE,Low-Well_BKT_ONLY_K_star,Low-Well_BKT_ONLY_ECE,Low-Well_DECAY_BASED_K_star,Low-Well_DECAY_BASED_ECE,Med-Over_CALIBRATEME_K_star,Med-Over_CALIBRATEME_ECE,Med-Over_SM2_K_star,Med-Over_SM2_ECE,Med-Over_BKT_ONLY_K_star,Med-Over_BKT_ONLY_ECE,Med-Over_DECAY_BASED_K_star,Med-Over_DECAY_BASED_ECE,Med-Under_CALIBRATEME_K_star,Med-Under_CALIBRATEME_ECE,Med-Under_SM2_K_star,Med-Under_SM2_ECE,Med-Under_BKT_ONLY_K_star,Med-Under_BKT_ONLY_ECE,Med-Under_DECAY_BASED_K_star,Med-Under_DECAY_BASED_ECE,Med-Well_CALIBRATEME_K_star,Med-Well_CALIBRATEME_ECE,Med-Well_SM2_K_star,Med-Well_SM2_ECE,Med-Well_BKT_ONLY_K_star,Med-Well_BKT_ONLY_ECE,Med-Well_DECAY_BASED_K_star,Med-Well_DECAY_BASED_ECE,High-Over_CALIBRATEME_K_star,High-Over_CALIBRATEME_ECE,High-Over_SM2_K_star,High-Over_SM2_ECE,High-Over_BKT_ONLY_K_star,High-Over_BKT_ONLY_ECE,High-Over_DECAY_BASED_K_star,High-Over_DECAY_BASED_ECE,High-Under_CALIBRATEME_K_star,High-Under_CALIBRATEME_ECE,High-Under_SM2_K_star,High-Under_SM2_ECE,High-Under_BKT_ONLY_K_star,High-Under_BKT_ONLY_ECE,High-Under_DECAY_BASED_K_star,High-Under_DECAY_BASED_ECE,High-Well_CALIBRATEME_K_star,High-Well_CALIBRATEME_ECE,High-Well_SM2_K_star,High-Well_SM2_ECE,High-Well_BKT_ONLY_K_star,High-Well_BKT_ONLY_ECE,High-Well_DECAY_BASED_K_star,High-Well_DECAY_BASED_ECE
1.000000,0.111430,0.219052,0.111430,0.219799,0.111430,0.219799,0.111430,0.219799,0.111430,0.266763,0.111430,0.265666,0.111430,0.265666,0.111430,0.265666,0.111430,0.237245,0.111430,0.237245,0.111430,0.237245,0.111430,0.237245,0.122860,0.223518,0.122860,0.217882,0.122860,0.217882,0.122860,0.217882,0.122860,0.264760,0.122860,0.263704,0.122860,0.263704,0.122860,0.263704,0.122860,0.237245,0.122860,0.237245,0.122860,0.237245,0.122860,0.237245,0.134290,0.195669,0.134290,0.195444,0.134290,0.195444,0.134290,0.195444,0.134290,0.259112,0.134290,0.260295,0.134290,0.260295,0.134290,0.260295,0.134290,0.237245,0.134290,0.237245,0.134290,0.237245,0.134290,0.237245
2.000000,0.107568,0.208702,0.107549,0.214339,0.107303,0.193416,0.107623,0.187980,0.107421,0.268396,0.107139,0.289073,0.107298,0.289350,0.107484,0.291005,0.107443,0.197375,0.107439,0.193471,0.107439,0.205280,0.107462,0.194319,0.132975,0.184755,0.132411,0.228216,0.134028,0.181589,0.134099,0.177519,0.133393,0.248312,0.132568,0.259024,0.133611,0.272091,0.133402,0.279127,0.133135,0.183607,0.132997,0.213306,0.133268,0.212371,0.133402,0.190815,0.160917,0.201025,0.159763,0.223365,0.160455,0.210485,0.159993,0.169993,0.160796,0.252697,0.158140,0.237962,0.158839,0.277840,0.161416,0.259780,0.158839,0.258526,0.160189,0.220364,0.160950,0.233252,0.160378,0.204292
3.000000,0.104529,0.142861,0.104513,0.122867,0.104287,0.129496,0.104459,0.112275,0.104332,0.277594,0.103486,0.309505,0.104116,0.284439,0.104141,0.300074,0.104225,0.209172,0.103936,0.194697,0.104179,0.196562,0.104344,0.216816,0.142515,0.125236,0.141297,0.194537,0.144962,0.133273,0.144698,0.136788,0.143835,0.287932,0.140865,0.300047,0.144005,0.278387,0.142873,0.312613,0.143512,0.198566,0.141432,0.234764,0.143505,0.221923,0.143268,0.189967,0.185018,0.133225,0.181929,0.152917,0.186531,0.128118,0.184785,0.120475,0.188153,0.257932,0.178429,0.243563,0.180479,0.258807,0.187491,0.266016,0.185251,0.212641,0.184357,0.209988,0.187310,0.177624,0.187324,0.227817
4.000000,0.101578,0.200261,0.101564,0.213146,0.101370,0.213146,0.101735,0.208025,0.101409,0.239619,0.100131,0.262013,0.101223,0.233973,0.101261,0.270530,0.101317,0.194298,0.101019,0.202584,0.101277,0.194298,0.101419,0.194298,0.151240,0.191460,0.149773,0.206045,0.154130,0.206935,0.153891,0.206935,0.153110,0.222607,0.147743,0.301752,0.153264,0.240341,0.152227,0.320645,0.152285,0.203642,0.148408,0.197472,0.152811,0.197008,0.152851,0.214620,0.209511,0.246773,0.202145,0.201307,0.211870,0.209416,0.209742,0.220013,0.213523,0.247268,0.195789,0.278534,0.205566,0.259325,0.212361,0.257621,0.210084,0.225890,0.207683,0.228477,0.212722,0.223791,0.212735,0.223791
5.000000,0.098865,0.156654,0.098853,0.165752,0.098686,0.165752,0.098977,0.150636,0.098719,0.199281,0.097383,0.294932,0.098559,0.205905,0.098582,0.234199,0.098640,0.144582,0.098397,0.176476,0.098606,0.144582,0.098728,0.144582,0.159986,0.121135,0.157521,0.190250,0.162600,0.137843,0.162383,0.137843,0.161677,0.220679,0.154705,0.240324,0.161817,0.234715,0.159662,0.245131,0.160822,0.182480,0.153666,0.210271,0.161407,0.180323,0.161443,0.180323,0.233999,0.119975,0.222508,0.179007,0.236242,0.108195,0.233369,0.140409,0.237814,0.213617,0.209637,0.234075,0.230246,0.238659,0.236275,0.247181,0.234544,0.197530,0.229911,0.198717,0.237052,0.197530,0.237065,0.197530
6.000000,0.097490,0.229689,0.097513,0.194741,0.097288,0.156035,0.097686,0.189514,0.097463,0.317494,0.096106,0.348109,0.097340,0.324098,0.097279,0.326136,0.097264,0.281954,0.097128,0.288590,0.097406,0.284402,0.097550,0.287417,0.169595,0.232438,0.167705,0.225559,0.171217,0.218345,0.171322,0.196093,0.170582,0.315338,0.163845,0.345484,0.170887,0.340695,0.168161,0.322551,0.170059,0.283029,0.159408,0.228170,0.170727,0.285798,0.171077,0.296716,0.257758,0.255311,0.245404,0.187433,0.259382,0.224606,0.257509,0.242533,0.261329,0.297199,0.225629,0.314675,0.255598,0.326923,0.259724,0.324198,0.259446,0.288365,0.251238,0.234535,0.260062,0.288726,0.261436,0.284141
7.000000,0.095454,0.166723,0.095165,0.193081,0.095150,0.192928,0.095781,0.196118,0.095445,0.229287,0.093952,0.232607,0.095281,0.247247,0.095347,0.228653,0.095355,0.205441,0.094934,0.188843,0.095550,0.198280,0.095502,0.201694,0.176395,0.267553,0.174485,0.185642,0.177031,0.159725,0.176729,0.238620,0.176276,0.230274,0.170531,0.298598,0.177042,0.269524,0.174259,0.233902,0.176018,0.194003,0.162322,0.186001,0.176435,0.213886,0.177350,0.209534,0.277522,0.225007,0.265083,0.197456,0.278112,0.204981,0.276427,0.227069,0.279222,0.232338,0.240386,0.196945,0.277153,0.267404,0.278763,0.237492,0.277393,0.207091,0.266214,0.180750,0.278118,0.185260,0.279547,0.239802
8.000000,0.093953,0.175373,0.093299,0.190061,0.093770,0.192058,0.094126,0.192104,0.093957,0.238759,0.092729,0.317185,0.093847,0.266041,0.093842,0.266776,0.093905,0.207910,0.093270,0.223127,0.093987,0.200003,0.093881,0.246691,0.181976,0.179615,0.180108,0.184342,0.183070,0.203823,0.181705,0.221011,0.182331,0.266544,0.175149,0.267942,0.182537,0.277291,0.181034,0.271368,0.182126,0.251697,0.166787,0.214177,0.181527,0.200138,0.182546,0.226724,0.294914,0.245444,0.282837,0.219008,0.295881,0.225619,0.295021,0.227302,0.298339,0.266189,0.256478,0.305770,0.291655,0.240204,0.295839,0.256895,0.295188,0.243665,0.279718,0.209653,0.296333,0.218874,0.296886,0.267949
9.000000,0.092389,0.212363,0.091345,0.234620,0.092164,0.226135,0.092424,0.222312,0.092374,0.196508,0.091211,0.250550,0.092235,0.226378,0.092077,0.233206,0.092313,0.167931,0.091186,0.190578,0.092443,0.180022,0.092120,0.201011,0.185605,0.197886,0.183463,0.262012,0.187680,0.233014,0.185601,0.228802,0.186662,0.193780,0.178275,0.273862,0.187456,0.267833,0.186442,0.261402,0.186526,0.177850,0.170665,0.238131,0.186775,0.200149,0.186812,0.172031,0.312092,0.234027,0.297347,0.231582,0.313043,0.176349,0.311181,0.191584,0.315628,0.232641,0.274891,0.211880,0.308473,0.302404,0.311951,0.273993,0.310616,0.157625,0.291108,0.194085,0.312330,0.249223,0.312332,0.237327
10.000000,0.091067,0.208346,0.090046,0.212554,0.091072,0.168556,0.090983,0.246505,0.090872,0.220703,0.090053,0.312045,0.091029,0.247534,0.090586,0.254349,0.091150,0.224192,0.089316,0.225670,0.091287,0.213625,0.090660,0.235750,0.189946,0.245696,0.185385,0.203729,0.192085,0.226253,0.189415,0.218339,0.190813,0.251251,0.181396,0.313409,0.191940,0.285591,0.191103,0.321657,0.189784,0.233586,0.174246,0.247930,0.191711,0.235196,0.190165,0.222136,0.325950,0.182163,0.309206,0.256515,0.327365,0.218808,0.327134,0.254236,0.329132,0.230192,0.289801,0.238617,0.325556,0.284836,0.327235,0.309550,0.325219,0.210297,0.300700,0.199918,0.328769,0.210839,0.327777,0.277169
