parameter_value,profile,cm_retention_mean,cm_retention_ci_lower,cm_retention_ci_upper,sm2_retention_mean,sm2_retention_ci_lower,sm2_retention_ci_upper,advantage_mean,advantage_ci_lower,advantage_ci_upper
0.0300,Med-Over,0.449508,0.444951,0.454064,0.432037,0.427341,0.436733,0.017470,0.015154,0.019787
0.0300,Med-Under,0.449355,0.445181,0.453529,0.412823,0.408632,0.417014,0.036532,0.032016,0.041049
0.0300,Med-Well,0.448674,0.444248,0.453101,0.424702,0.421133,0.428271,0.023972,0.022061,0.025883
0.0500,Med-Over,0.373840,0.370551,0.377129,0.358763,0.355270,0.362256,0.015077,0.014364,0.015791
0.0500,Med-Under,0.373658,0.370480,0.376836,0.344099,0.340304,0.347894,0.029559,0.026011,0.033107
0.0500,Med-Well,0.373827,0.370587,0.377066,0.352719,0.349742,0.355695,0.021108,0.019766,0.022450
0.1000,Med-Over,0.278179,0.276327,0.280031,0.271061,0.269051,0.273071,0.007118,0.005970,0.008265
0.1000,Med-Under,0.278266,0.276553,0.279980,0.260545,0.257464,0.263625,0.017722,0.014245,0.021198
0.1000,Med-Well,0.278092,0.276265,0.279919,0.266115,0.263294,0.268936,0.011977,0.010004,0.013950
0.1500,Med-Over,0.239811,0.238890,0.240732,0.235885,0.235008,0.236762,0.003926,0.003348,0.004505
0.1500,Med-Under,0.239702,0.238840,0.240564,0.231869,0.230231,0.233507,0.007833,0.006174,0.009491
0.1500,Med-Well,0.239714,0.238807,0.240622,0.232955,0.231606,0.234303,0.006760,0.005542,0.007978
0.2000,Med-Over,0.222003,0.221517,0.222489,0.219852,0.219086,0.220618,0.002151,0.001619,0.002683
0.2000,Med-Under,0.221936,0.221436,0.222437,0.218433,0.217458,0.219408,0.003503,0.002689,0.004318
0.2000,Med-Well,0.221970,0.221492,0.222449,0.218734,0.217771,0.219697,0.003236,0.002519,0.003953
