parameter_value,profile,cm_retention_mean,cm_retention_ci_lower,cm_retention_ci_upper,sm2_retention_mean,sm2_retention_ci_lower,sm2_retention_ci_upper,advantage_mean,advantage_ci_lower,advantage_ci_upper
0.0500,Med-Over,0.278186,0.276343,0.280029,0.270278,0.268523,0.272033,0.007908,0.006529,0.009287
0.0500,Med-Under,0.278212,0.276522,0.279902,0.259892,0.257165,0.262618,0.018320,0.014833,0.021807
0.0500,Med-Well,0.278049,0.276311,0.279787,0.267245,0.265389,0.269101,0.010804,0.008689,0.012920
0.1000,Med-Over,0.278185,0.276321,0.280049,0.270244,0.268572,0.271915,0.007941,0.006515,0.009368
0.1000,Med-Under,0.278044,0.276420,0.279668,0.261033,0.257312,0.264753,0.017011,0.014501,0.019522
0.1000,Med-Well,0.277991,0.276236,0.279745,0.266385,0.264430,0.268340,0.011605,0.010360,0.012851
0.1500,Med-Over,0.278167,0.276331,0.280003,0.268225,0.266147,0.270303,0.009942,0.009040,0.010844
0.1500,Med-Under,0.278294,0.276572,0.280016,0.263279,0.259607,0.266951,0.015014,0.012391,0.017638
0.1500,Med-Well,0.278221,0.276416,0.280025,0.265995,0.263929,0.268060,0.012226,0.010413,0.014039
0.2000,Med-Over,0.278211,0.276367,0.280055,0.268299,0.266453,0.270144,0.009912,0.008966,0.010859
0.2000,Med-Under,0.278179,0.276423,0.279935,0.263361,0.260240,0.266483,0.014818,0.013226,0.016409
0.2000,Med-Well,0.278287,0.276400,0.280174,0.266544,0.264570,0.268517,0.011743,0.009974,0.013513
