parameter_value,profile,cm_retention_mean,cm_retention_ci_lower,cm_retention_ci_upper,sm2_retention_mean,sm2_retention_ci_lower,sm2_retention_ci_upper,advantage_mean,advantage_ci_lower,advantage_ci_upper
0.0500,Med-Over,0.278520,0.276685,0.280354,0.270195,0.267689,0.272701,0.008325,0.006765,0.009884
0.0500,Med-Under,0.278761,0.276959,0.280563,0.260664,0.257921,0.263406,0.018097,0.014194,0.022000
0.0500,Med-Well,0.278526,0.276623,0.280429,0.266368,0.264138,0.268598,0.012158,0.010337,0.013979
0.1000,Med-Over,0.278238,0.276350,0.280127,0.270025,0.267885,0.272166,0.008213,0.007152,0.009275
0.1000,Med-Under,0.278043,0.276349,0.279736,0.259498,0.256217,0.262779,0.018545,0.015597,0.021492
0.1000,Med-Well,0.277960,0.276218,0.279702,0.265401,0.263051,0.267752,0.012558,0.010684,0.014433
0.1500,Med-Over,0.277867,0.276088,0.279647,0.268678,0.266955,0.270400,0.009190,0.008320,0.010059
0.1500,Med-Under,0.277699,0.276152,0.279246,0.260344,0.257132,0.263556,0.017355,0.013916,0.020794
0.1500,Med-Well,0.277723,0.276089,0.279356,0.266559,0.264714,0.268403,0.011164,0.010275,0.012053
0.2000,Med-Over,0.277528,0.275868,0.279187,0.267637,0.265668,0.269606,0.009890,0.009207,0.010574
0.2000,Med-Under,0.277206,0.275723,0.278690,0.258620,0.255271,0.261968,0.018587,0.015913,0.021261
0.2000,Med-Well,0.277439,0.275838,0.279041,0.265226,0.261755,0.268696,0.012214,0.009602,0.014826
